Input:	000000000000000000000000000000000000
Output:	0x7D

Input:	000100010001000100010001000100010001
Output:	0x00

Input:	001000100010001000100010001000100010
Output:	0x00

Input:	001100110011001100110011001100110011
Output:	0x00

Input:	010001000100010001000100010001000100
Output:	0x00

Input:	010101010101010101010101010101010101
Output:	0x00

Input:	011001100110011001100110011001100110
Output:	0x7D

Input:	011101110111011101110111011101110111
Output:	0x00

Input:	100010001000100010001000100010001000
Output:	0x00

Input:	100110011001100110011001100110011001
Output:	0x79

Input:	101010101010101010101010101010101010
Output:	0x00

Input:	101110111011101110111011101110111011
Output:	0x79

Input:	110011001100110011001100110011001100
Output:	0x7D

Input:	110111011101110111011101110111011101
Output:	0x79

Input:	111011101110111011101110111011101110
Output:	0x7D

Input:	111111111111111111111111111111111111
Output:	0x7D

